,Machine 1,Machine 2,Machine 3,Machine 4,Machine 5,Machine 6,Machine 7,Machine 8,Machine 9,Machine 10,Choice
74,0,0,0,0,0,0,1,0,0,0,3
75,0,0,0,0,0,0,0,0,0,0,4
76,0,0,0,0,0,0,0,0,0,0,8
77,0,0,0,0,0,0,0,1,0,0,9
78,0,1,0,0,1,0,0,0,0,0,3
79,0,0,0,0,0,0,0,0,0,0,9
80,0,0,0,0,0,0,0,1,0,0,7
81,0,0,0,0,0,0,1,1,0,0,8
82,0,0,0,1,0,0,0,0,0,0,2
83,0,1,1,0,0,0,0,0,0,0,8
84,0,0,0,1,0,0,0,0,0,0,6
85,0,1,0,0,0,0,0,0,0,0,4
86,0,0,0,0,0,0,0,0,0,0,6
87,0,0,0,0,0,0,1,0,0,0,2
88,1,0,0,1,0,0,0,1,0,0,2
89,0,0,0,0,0,0,0,1,0,0,5
90,0,0,0,0,1,0,1,0,0,0,10
91,0,0,0,0,0,0,0,1,0,0,6
92,0,0,0,0,0,0,0,0,0,0,3
93,0,0,0,0,0,0,0,0,0,0,9
94,1,0,0,1,0,0,0,0,1,0,9
95,0,0,0,0,0,0,0,0,0,0,4
96,0,1,0,0,0,0,0,0,1,0,3
97,0,0,0,1,0,0,1,0,0,0,5
98,0,0,1,1,1,0,0,1,0,0,10
99,0,0,0,0,1,0,0,0,1,0,1
100,0,0,0,0,0,0,0,0,1,0,8
101,0,0,0,0,0,0,0,0,0,0,10
102,1,0,1,1,0,0,0,0,0,0,4
103,0,0,0,0,0,0,0,0,0,1,7
104,0,1,0,0,0,0,0,0,0,0,6
105,0,1,0,0,0,0,0,0,0,0,9
106,0,0,0,0,0,0,0,0,0,0,10
107,1,0,0,0,0,1,0,0,0,0,9
108,0,0,0,0,1,0,0,0,0,0,9
109,1,0,0,0,0,0,0,0,0,0,4
110,0,1,0,0,1,0,0,0,0,0,7
111,0,1,0,0,0,0,0,0,0,0,7
112,1,0,0,0,0,0,0,0,0,0,6
113,0,0,0,0,0,0,0,0,1,0,1
114,0,0,0,0,0,0,0,0,0,0,2
115,0,0,0,0,0,0,0,0,0,0,8
116,0,0,0,0,1,0,0,0,1,0,3
117,0,0,0,0,0,0,0,0,0,1,1
118,0,1,0,0,0,0,1,0,0,0,2
119,0,1,0,0,1,0,0,1,1,0,3
120,1,0,0,0,0,0,0,1,0,0,2
121,0,1,0,0,1,0,0,0,0,0,5
122,0,0,0,0,1,0,0,0,0,0,5
123,0,0,0,0,0,0,0,1,0,1,4
124,1,0,0,0,1,0,0,0,0,1,10
125,0,0,0,0,1,0,1,0,0,0,4
126,0,0,0,0,0,0,0,0,0,0,8
127,0,0,0,0,0,1,0,0,0,0,10
128,0,0,1,0,0,0,0,0,0,0,10
129,0,0,1,0,0,0,0,0,1,0,6
130,0,0,0,0,1,0,0,1,0,0,8
131,0,1,0,0,0,0,0,1,0,0,10
132,0,0,0,0,0,0,0,0,0,0,7
133,0,0,0,0,0,0,1,1,0,0,8
134,0,0,0,0,0,0,0,1,1,0,5
135,0,0,0,1,1,0,0,0,0,0,7
136,1,0,0,1,0,0,0,0,0,0,4
137,0,0,0,0,0,0,0,0,0,0,4
138,1,0,0,0,1,0,0,1,0,0,4
139,0,0,0,0,0,0,0,0,0,0,10
140,0,1,0,0,0,0,0,0,0,0,3
141,0,0,0,0,1,0,0,0,1,0,5
142,0,1,0,0,0,0,0,0,0,0,4
143,0,1,0,0,0,0,0,0,0,0,10
144,0,0,0,0,1,0,0,0,0,1,1
145,1,0,1,0,0,0,0,1,0,0,3
146,0,0,0,0,0,0,0,0,0,0,7
147,0,0,0,0,0,0,0,1,1,0,10
148,0,0,0,0,0,0,0,0,0,0,7
149,0,1,0,0,0,0,0,1,1,0,2
150,0,0,0,0,0,0,0,0,1,0,10
151,0,1,0,0,0,0,0,0,0,0,6
152,0,0,0,0,0,0,0,0,1,0,10
153,0,0,0,0,0,0,0,0,0,0,7
154,0,1,0,0,0,0,1,0,0,0,4
155,1,1,0,0,0,0,0,1,0,0,2
156,0,0,0,0,0,0,1,0,0,0,5
157,0,0,0,0,0,0,0,0,0,0,10
158,0,0,1,0,0,0,0,1,0,1,6
159,1,0,0,0,1,0,0,0,0,0,10
160,0,0,0,0,0,0,0,1,0,0,2
161,0,0,0,0,0,0,0,0,0,0,8
162,0,0,0,0,1,0,0,0,0,0,3
163,1,0,0,0,1,0,0,1,0,0,6
164,0,0,0,0,0,0,0,0,0,0,9
165,0,0,0,1,0,0,0,1,0,0,9
166,0,0,0,0,0,0,0,0,0,0,8
167,0,0,0,0,0,0,0,0,0,0,10
168,0,0,0,0,0,0,0,0,0,0,3
169,0,0,0,0,0,0,0,0,1,0,6
170,0,0,0,0,0,0,0,0,1,0,4
171,0,1,0,1,0,0,0,0,0,0,10
172,0,0,0,0,0,0,0,0,0,0,5
173,0,0,0,0,0,0,1,0,0,0,10
174,0,0,0,0,1,0,0,0,0,1,10
175,0,0,0,1,1,0,1,0,1,0,6
176,1,0,0,0,0,0,1,1,0,0,1
177,0,0,0,0,0,0,0,1,0,0,1
178,1,0,0,0,0,0,0,0,0,0,1
179,0,0,0,0,0,0,0,0,0,0,7
180,0,0,0,1,0,0,0,0,0,1,10
181,0,0,0,0,0,0,0,0,0,0,5
182,0,1,0,0,0,0,0,0,0,0,9
183,0,0,0,0,0,0,0,0,0,0,5
184,0,0,0,0,0,0,0,0,0,0,1
185,0,0,1,0,0,0,0,0,0,0,3
186,0,0,0,0,0,0,0,0,0,0,7
187,0,0,0,0,0,0,0,1,0,0,9
188,1,0,0,0,0,0,0,0,0,0,3
189,0,0,0,1,1,0,0,1,0,0,4
190,0,0,0,0,0,0,0,0,0,0,10
191,0,0,0,0,0,0,0,0,0,0,6
192,1,0,0,0,0,0,1,0,0,0,4
193,0,1,0,0,1,0,1,0,0,0,3
194,0,0,0,0,0,0,0,0,0,1,6
195,0,0,0,0,0,0,0,0,0,0,7
196,1,0,0,0,0,0,0,0,0,0,3
197,0,0,0,0,0,1,0,0,0,0,1
198,0,0,0,0,0,0,0,0,0,0,3
199,0,0,0,0,0,0,0,0,1,0,3
200,0,0,0,0,1,0,0,0,0,0,4
201,0,0,0,0,1,0,0,0,0,0,9
202,0,0,0,0,0,0,0,0,0,0,4
203,0,0,0,0,0,0,0,0,0,0,8
204,0,0,0,0,0,0,0,0,0,0,2
205,0,0,0,0,1,0,0,0,0,0,6
206,0,0,0,0,0,0,0,1,0,0,8
207,0,0,0,0,0,0,1,1,0,0,1
208,1,0,1,1,0,0,0,0,0,0,3
209,0,0,0,0,0,0,0,1,0,0,10
210,0,0,0,0,0,0,0,0,0,0,7
211,0,0,0,1,1,0,0,0,0,0,5
212,1,0,0,0,1,0,0,0,0,0,2
213,0,0,0,0,0,0,0,1,0,0,2
214,0,0,0,0,0,0,1,0,0,0,10
215,0,0,0,0,0,0,0,0,1,0,2
216,0,1,0,0,0,0,0,0,0,0,10
217,0,0,0,0,0,0,0,0,0,0,3
218,0,0,1,1,0,0,0,0,0,0,5
219,0,1,0,0,0,0,0,0,0,0,2
220,1,0,1,1,0,0,1,0,0,1,7
221,1,0,0,0,0,0,0,0,0,0,9
222,0,0,0,0,0,0,0,1,0,0,3
223,1,0,0,0,1,0,1,0,0,0,5
224,0,0,0,1,0,0,0,0,0,0,2
225,0,0,0,0,0,0,0,0,0,0,5
226,0,0,0,0,0,0,0,1,0,0,6
227,0,0,0,0,1,0,0,0,0,0,5
228,0,0,0,0,0,0,0,0,0,0,5
229,0,0,0,1,0,0,0,0,0,0,5
230,0,1,0,0,1,0,0,0,0,0,1
231,0,0,0,1,0,0,0,0,0,0,9
232,0,0,0,0,0,0,0,0,1,0,4
233,0,0,0,0,0,0,0,1,0,0,4
234,0,0,0,0,1,0,0,0,0,0,10
235,0,0,1,0,0,0,0,1,0,0,2
236,0,0,0,1,1,0,0,1,0,0,4
237,0,0,0,1,0,0,0,0,0,0,9
238,0,0,0,0,0,0,0,1,0,0,3
239,0,0,0,0,0,0,0,0,0,0,10
240,1,0,0,0,0,0,0,0,1,0,2
241,0,0,0,0,0,0,0,0,0,0,6
242,0,0,0,0,0,0,0,0,0,0,4
243,1,0,0,0,0,0,0,0,0,0,6
244,0,0,0,0,0,0,0,1,0,0,1
245,0,0,0,0,0,0,0,0,0,0,9
246,0,0,0,0,0,0,0,0,0,0,9
247,0,0,0,0,1,0,0,1,0,0,10
248,0,0,0,0,0,0,0,0,0,0,1
249,1,0,0,0,1,0,0,0,0,0,9
250,0,0,0,0,1,0,0,0,0,0,5
251,0,0,0,0,0,0,0,1,0,0,8
252,0,0,0,1,0,0,0,0,0,0,6
253,0,0,0,0,0,0,0,0,0,0,7
254,0,0,0,0,1,0,0,0,0,0,10
255,1,0,0,0,0,0,0,0,0,0,10
256,0,0,0,0,0,0,0,0,0,0,5
257,0,0,0,0,1,0,0,0,0,0,2
258,1,0,0,1,0,0,0,0,0,0,2
259,1,0,0,1,0,0,1,0,0,0,8
260,0,0,0,0,0,1,0,0,0,0,5
261,0,0,0,0,0,0,0,0,0,0,5
262,0,0,0,0,0,0,0,0,0,0,4
263,0,0,0,0,1,0,1,0,0,0,8
264,0,0,0,0,0,0,0,0,1,0,3
265,1,0,0,0,1,0,0,0,0,0,9
266,0,0,0,0,1,0,0,0,0,0,6
267,0,0,0,0,0,0,1,0,0,0,8
268,0,0,0,0,0,0,0,1,0,0,4
269,0,0,0,1,1,0,0,0,0,0,10
270,0,0,0,0,0,0,0,0,0,0,9
271,1,0,0,0,0,0,0,0,0,0,9
272,0,0,0,0,0,0,0,0,0,0,1
273,0,1,0,0,1,0,0,0,0,0,3
274,0,0,0,0,0,0,0,0,0,0,1
275,0,0,1,0,1,0,0,0,0,0,3
276,0,0,0,0,0,0,1,0,0,0,1
277,0,0,0,0,1,0,0,0,0,0,7
278,0,0,0,0,0,0,0,0,0,1,2
279,1,0,0,1,0,0,0,0,1,0,9
280,0,0,0,0,0,0,0,0,0,0,9
281,0,0,0,0,0,0,0,0,0,0,2
282,0,0,0,0,0,0,0,0,0,0,10
283,1,0,0,0,0,0,0,1,0,0,7
284,0,1,0,1,0,0,0,0,0,0,10
285,0,0,0,0,0,0,0,1,0,0,10
286,0,0,1,0,0,0,0,0,0,0,8
287,0,0,0,1,0,0,0,0,0,0,4
288,0,0,0,0,0,0,0,0,0,0,1
289,0,0,0,0,0,0,1,0,0,0,4
290,0,0,0,0,0,0,0,0,0,0,7
291,0,0,1,0,0,0,0,0,0,0,9
292,0,0,1,0,1,0,1,0,0,0,3
293,0,0,0,0,0,0,0,0,0,0,3
294,0,0,0,1,1,0,0,0,0,0,5
295,0,0,1,0,0,0,1,0,0,0,6
296,0,0,0,0,0,0,0,0,0,0,9
297,1,0,0,1,1,0,0,0,1,0,5
298,0,0,0,0,0,0,0,1,0,0,7
299,1,0,0,0,1,0,0,0,0,0,9
300,0,0,0,0,0,0,0,0,0,0,6
301,0,0,0,0,0,0,1,0,0,0,6
302,0,0,0,1,0,0,0,0,0,0,8
303,1,0,0,0,1,0,0,0,0,0,5
304,1,0,0,0,0,0,1,1,0,0,1
305,0,1,0,0,1,0,1,0,0,0,4
306,0,0,0,0,0,0,0,0,0,0,3
307,0,0,0,0,1,0,0,0,0,0,5
308,0,0,1,0,1,0,1,1,1,0,2
309,0,0,0,0,1,0,0,0,0,0,3
310,0,0,0,1,0,0,0,1,0,0,9
311,0,1,0,0,0,0,0,0,0,0,9
312,0,1,0,0,0,0,0,0,1,0,2
313,0,0,1,0,0,0,0,1,1,0,7
314,0,0,0,0,1,0,0,0,0,0,7
315,0,0,0,0,0,0,0,1,0,0,4
316,1,0,0,0,0,0,0,0,0,0,5
317,0,0,0,1,0,0,0,0,1,0,3
318,0,0,0,0,0,0,0,0,0,0,7
319,0,0,0,0,1,0,0,0,0,0,9
320,1,1,0,1,0,0,0,0,0,0,6
321,1,0,0,0,1,0,0,0,0,0,4
322,0,0,0,0,0,0,0,0,0,0,3
323,0,0,0,0,0,0,0,0,0,0,1
324,0,0,0,0,0,0,0,1,0,0,10
325,0,0,0,0,0,0,0,1,0,0,7
326,0,0,1,0,0,0,0,0,0,1,4
327,1,0,0,0,0,0,0,0,0,0,10
328,0,0,1,0,1,0,0,0,0,0,4
329,0,0,0,0,1,0,0,0,0,0,8
330,0,0,0,1,0,0,0,0,1,0,7
331,0,0,0,0,0,0,0,1,0,0,3
332,0,0,0,0,0,0,0,0,0,0,1
333,0,1,0,1,0,0,0,0,1,0,2
334,1,0,1,0,0,0,0,0,0,0,8
335,0,0,0,0,0,0,0,0,0,0,7
336,0,0,0,0,1,0,0,0,0,0,3
337,0,0,0,0,1,0,0,0,0,0,4
338,0,0,0,0,0,0,0,0,0,0,8
339,0,0,0,0,0,0,0,0,0,0,7
340,0,0,0,0,0,0,1,1,0,0,10
341,0,0,0,0,1,0,0,0,0,0,1
342,0,0,0,0,0,0,0,0,0,0,6
343,0,0,0,0,0,0,0,0,0,0,10
344,0,1,0,0,0,0,0,0,0,0,8
345,0,1,0,0,0,0,0,0,0,0,6
346,0,0,0,0,0,0,0,0,0,0,3
347,1,0,1,0,1,0,0,0,0,0,8
348,0,0,0,1,0,0,1,0,0,0,1
349,0,1,0,0,1,0,0,0,0,0,3
350,1,0,0,1,0,0,0,0,0,0,7
351,0,0,0,0,1,0,0,0,0,0,5
352,1,0,0,0,0,0,0,1,0,0,3
353,0,0,0,1,0,0,1,0,0,0,10
354,0,0,0,0,0,0,0,1,0,0,4
355,0,0,0,1,0,0,0,0,0,0,8
356,0,1,0,0,0,0,0,1,0,0,5
357,0,1,1,0,1,0,0,0,0,0,1
358,1,0,0,0,0,0,1,0,0,0,4
359,1,1,0,0,1,0,0,0,0,0,5
360,0,0,1,0,0,0,0,1,0,0,9
361,0,1,0,0,0,0,0,0,0,0,4
362,0,1,0,0,0,0,0,0,0,0,1
363,0,0,0,0,0,0,0,0,0,0,1
364,0,0,0,0,1,0,0,0,0,0,2
365,0,0,0,0,0,0,0,0,0,0,5
366,0,0,0,1,0,0,0,0,0,0,7
367,1,0,0,1,1,0,0,0,0,0,9
368,0,0,0,0,0,0,0,0,0,0,7
369,0,0,0,0,0,0,0,0,0,0,1
370,0,0,0,0,0,0,0,0,0,0,8
371,0,0,0,0,1,0,0,0,0,0,4
372,0,1,0,0,1,0,0,0,0,0,10
373,0,0,0,0,0,0,0,0,0,0,1
374,0,0,0,0,0,0,0,0,0,0,4
375,0,1,0,0,0,0,0,1,0,0,1
376,0,0,0,1,1,0,0,0,0,0,9
377,0,0,0,0,0,0,0,0,0,0,1
378,0,0,0,1,0,0,0,1,0,0,9
379,0,0,1,0,1,0,0,0,0,0,4
380,0,0,0,1,0,0,0,0,0,0,4
381,0,0,0,0,0,0,0,0,0,0,4
382,0,0,0,0,1,1,0,0,0,0,2
383,0,0,0,0,0,0,0,0,0,0,4
384,0,1,0,0,0,0,0,1,0,0,8
385,1,0,0,0,1,0,0,0,0,0,3
386,1,0,0,1,0,0,0,1,0,0,9
387,0,0,0,0,0,0,1,0,1,0,4
388,0,0,0,0,0,0,1,1,0,0,4
389,0,0,0,0,1,0,0,0,0,0,9
390,0,0,0,0,1,0,0,0,0,0,8
391,0,0,0,1,0,0,0,0,0,0,1
392,0,1,0,0,0,0,0,1,1,0,4
393,0,0,0,0,0,0,1,0,0,0,8
394,0,0,0,0,1,0,0,0,0,0,7
395,0,0,0,0,0,0,0,0,1,0,1
396,0,0,0,1,0,0,0,0,0,0,4
397,0,0,0,0,1,0,0,0,0,0,6
398,0,0,0,0,0,0,0,0,1,0,2
399,0,1,0,0,1,0,0,0,0,0,9
400,0,0,0,0,0,0,0,1,0,0,4
401,1,1,0,0,0,0,0,1,0,0,2
402,1,0,0,0,0,0,0,1,0,0,2
403,0,0,0,1,0,0,0,1,0,0,2
404,0,0,0,0,1,0,0,0,0,0,9
405,0,0,1,0,0,0,0,0,0,0,4
406,0,0,0,0,1,0,0,0,0,0,9
407,0,0,0,1,0,0,0,0,0,0,10
408,0,0,0,0,0,0,0,0,1,0,1
409,0,0,1,1,0,0,0,0,1,0,7
410,0,0,0,0,0,0,0,1,0,1,7
411,0,1,1,0,0,0,0,0,0,0,5
412,0,0,0,0,0,0,0,0,0,1,10
413,0,1,0,0,0,0,0,0,0,0,6
414,0,0,0,1,0,0,0,0,0,0,8
415,0,0,0,1,1,0,0,1,0,0,10
416,1,0,0,1,0,0,0,1,0,0,5
417,0,0,1,0,1,0,1,0,0,0,2
418,0,0,0,1,1,0,0,0,0,0,2
419,1,0,0,1,0,0,0,0,0,0,7
420,1,1,1,0,0,0,1,0,1,0,9
421,0,0,0,0,0,0,0,0,0,0,9
422,0,0,0,1,0,0,1,0,0,0,10
423,1,0,0,0,1,0,0,1,0,0,1
424,0,0,0,0,1,0,0,0,1,0,6
425,0,0,1,0,0,0,1,0,0,0,9
426,0,0,0,0,0,0,0,0,0,0,4
427,0,0,0,0,0,0,0,0,0,0,5
428,0,0,0,1,1,0,0,0,0,0,10
429,1,0,0,0,0,0,0,0,0,0,6
430,0,0,0,1,0,0,0,0,1,0,7
431,0,0,0,0,1,0,1,1,0,0,7
432,0,0,0,0,0,0,0,0,0,0,1
433,0,0,0,0,0,0,0,0,0,0,9
434,1,0,0,0,0,0,0,0,0,0,3
435,0,1,0,1,1,0,0,0,0,0,3
436,0,0,0,0,0,0,1,0,0,0,5
437,0,0,1,0,0,0,0,0,0,0,5
438,0,0,0,0,0,0,0,0,0,0,6
439,1,1,0,0,0,0,0,1,1,0,7
440,0,0,0,0,0,0,0,1,0,0,1
441,0,0,0,0,0,0,0,1,0,0,8
442,0,0,0,0,1,0,0,0,1,0,4
443,0,1,0,0,0,0,0,0,0,0,5
444,0,0,1,0,0,0,0,0,0,0,9
445,0,0,0,0,0,0,0,0,0,0,6
446,1,0,0,0,1,0,0,0,0,0,2
447,1,0,0,0,0,0,0,0,0,0,9
448,0,0,0,0,0,0,1,0,0,0,10
449,1,0,0,0,0,0,1,0,0,0,8
450,0,1,0,0,1,0,0,1,0,0,1
451,0,0,0,0,0,0,0,0,0,0,6
452,0,0,0,1,0,0,0,0,0,0,5
453,1,1,0,0,0,0,0,0,0,0,6
454,0,0,0,0,0,0,0,1,0,0,5
455,0,0,0,0,0,0,0,0,0,0,6
456,0,0,0,0,0,0,0,0,0,0,7
457,0,0,0,0,1,0,0,0,0,1,10
458,1,0,0,1,1,0,0,1,1,0,8
459,1,1,0,0,0,0,0,1,0,0,7
460,0,0,0,0,0,0,0,0,0,0,5
461,0,0,0,0,0,0,0,1,0,0,1
462,1,0,0,0,1,0,0,0,0,0,3
463,0,0,0,0,1,0,0,0,0,0,3
464,0,0,0,0,0,0,0,0,0,0,4
465,0,0,0,0,1,0,0,0,0,0,6
466,1,0,0,0,0,1,0,0,0,0,9
467,1,0,0,0,0,0,0,0,0,0,5
468,0,0,0,0,1,0,0,0,0,0,4
469,0,0,0,0,0,0,0,0,0,1,6
470,1,0,0,0,1,0,0,0,0,0,6
471,0,0,0,0,0,0,0,1,0,0,4
472,0,0,1,0,0,0,0,0,0,0,7
473,0,0,0,0,1,0,0,0,1,0,1
474,1,0,0,0,0,0,0,0,1,0,6
475,0,1,0,0,1,0,0,0,0,0,9
476,0,0,0,0,1,0,0,0,0,0,3
477,0,1,0,0,0,0,0,0,1,0,7
478,1,1,0,0,0,0,0,0,0,0,8
479,0,0,0,1,1,0,0,0,0,0,9
480,0,0,0,0,0,0,0,0,0,1,1
481,0,1,0,0,0,0,0,1,0,0,1
482,1,0,0,0,1,0,0,0,0,0,5
483,0,0,0,1,0,0,0,0,0,0,6
484,0,0,0,0,0,0,0,0,0,0,10
485,0,0,0,0,0,0,0,0,0,0,1
486,0,1,0,0,0,0,0,0,0,0,1
487,0,0,0,0,0,0,0,0,0,0,5
488,0,0,0,0,0,0,0,0,0,0,8
489,0,0,0,0,1,0,0,0,0,0,8
490,0,0,0,0,0,0,0,0,0,0,8
491,1,0,0,0,1,0,0,0,0,0,5
492,0,0,0,0,0,0,0,0,0,0,8
493,0,0,0,0,0,0,0,0,0,0,5
494,0,0,0,0,0,0,0,1,0,0,4
495,0,0,1,0,1,0,1,0,0,0,2
496,0,1,0,0,0,0,0,0,0,0,7
497,0,1,0,0,0,0,0,0,0,0,4
498,0,0,1,0,0,0,1,1,0,0,9
499,0,0,0,0,0,0,0,0,0,0,3
500,0,0,0,0,0,0,0,0,0,0,2
501,1,0,0,0,0,0,0,0,0,0,7
502,1,0,0,0,0,0,0,1,0,0,9
503,0,0,0,0,1,0,0,0,0,0,10
504,0,0,0,0,0,0,1,0,0,0,6
505,0,0,0,0,0,0,0,1,0,0,8
506,0,0,0,0,0,0,0,1,0,0,5
507,0,0,0,0,0,0,0,0,0,0,8
508,1,0,0,0,1,0,0,0,0,0,10
509,1,0,0,1,0,0,0,0,0,0,4
510,0,1,0,0,1,0,0,0,0,0,6
511,0,0,0,0,0,0,0,0,0,0,2
512,0,0,0,0,0,0,0,0,0,0,2
513,0,0,0,0,0,0,0,0,1,0,1
514,1,0,0,0,1,0,0,0,0,0,1
515,0,0,0,0,0,0,0,0,0,1,1
516,1,0,0,1,0,0,0,0,0,0,5
517,0,0,0,0,1,0,0,0,0,0,9
518,0,0,1,0,0,0,0,0,0,0,1
519,0,0,1,0,1,0,0,0,1,0,8
520,0,0,0,0,0,0,0,0,1,0,7
521,0,0,0,0,0,0,0,0,0,0,6
522,0,0,0,0,0,0,0,0,0,0,3
523,0,0,0,0,0,0,0,1,0,0,10
524,1,0,1,0,0,0,0,0,0,0,6
525,0,0,0,0,0,0,0,0,0,0,7
526,0,0,0,0,0,0,0,0,0,0,10
527,0,1,0,0,0,0,0,0,0,0,9
528,0,0,0,0,0,0,0,0,0,0,6
529,0,0,0,0,0,0,0,1,0,0,1
530,0,0,0,0,1,0,0,1,0,0,9
531,0,0,0,0,0,0,1,0,0,0,1
532,0,0,0,0,0,0,0,0,0,0,7
533,0,0,0,0,0,0,1,0,0,0,6
534,0,0,0,0,0,0,0,0,0,0,10
535,0,0,0,0,0,0,0,0,1,0,2
536,0,0,0,0,0,0,0,1,0,0,6
537,0,0,0,0,0,0,0,1,0,0,6
538,1,0,0,0,1,0,0,0,0,0,7
539,0,0,0,1,0,0,0,0,0,0,7
540,0,0,0,1,1,0,0,0,0,0,5
541,0,0,0,0,0,0,0,0,0,0,10
542,0,0,0,0,1,0,0,0,0,0,3
543,0,0,0,0,1,0,0,0,0,0,3
544,0,0,0,0,1,0,0,0,0,0,5
545,0,0,0,0,1,0,0,1,0,1,5
546,0,1,0,0,0,0,0,0,0,0,8
547,1,0,0,0,0,0,0,0,0,0,2
548,0,0,0,0,0,0,0,1,0,0,7
549,0,0,0,0,0,0,0,0,1,1,3
550,1,0,0,0,0,0,0,0,0,0,2
551,0,0,0,0,0,0,0,1,0,0,8
552,0,0,0,0,1,0,0,0,0,0,2
553,1,0,0,0,0,0,0,1,0,0,10
554,0,0,0,0,0,0,0,0,1,0,7
555,0,0,0,0,0,0,0,0,0,0,7
556,0,0,0,0,0,0,0,0,0,0,6
557,0,0,1,0,0,0,0,1,0,0,5
558,0,0,0,0,0,0,0,0,0,0,10
559,0,0,0,0,1,0,1,0,0,0,2
560,0,0,0,0,0,0,0,1,0,0,5
561,0,0,0,0,0,0,0,0,0,0,5
562,0,0,0,0,0,0,0,0,0,0,4
563,0,0,0,0,0,0,0,0,1,0,3
564,0,1,0,0,1,0,0,0,0,0,3
565,0,0,0,0,0,0,0,1,0,0,2
566,0,0,0,0,0,0,0,0,0,0,10
567,0,1,0,0,0,0,0,0,0,0,1
568,0,0,1,0,0,0,0,1,0,0,5
569,0,0,1,0,1,0,0,0,0,0,9
570,1,0,0,0,0,0,0,0,0,0,6
571,0,0,0,0,1,0,0,0,0,0,6
572,1,0,0,0,1,0,0,0,0,0,9
573,0,0,0,1,0,0,0,0,0,0,5
574,0,0,0,0,0,0,0,0,0,0,2
575,0,0,0,0,0,0,0,0,0,0,7
576,0,0,0,0,0,0,0,0,0,0,4
